总出发站,总目得站,总信息,班次列车号1,发车时间-到站时间1,发车站-目得站1,班次列车号2,发车时间-到站时间2,发车站-目得站2
北京南,上海,天津换乘 停留2小时23分钟 全程14小时48分钟 价格¥218起,C2033,2024-10-11 22:32---2024-10-11 23:02,北京南---天津,Z515,2024-10-12 01:25---2024-10-12 13:20,天津---上海
北京,,唐山西换乘 停留4小时10分钟 全程5小时18分钟 价格¥79起,D6625,2024-10-11 16:12---2024-10-11 17:20,北京---唐山西,,,
北京丰台,上海,徐州换乘 停留1小时35分钟 全程14小时15分钟 价格¥196起,Z155,2024-10-11 21:48---2024-10-12 04:27,北京丰台---徐州,Z163,2024-10-12 06:02---2024-10-12 12:03,徐州---上海
北京,上海,天津西换乘 停留1小时32分钟 全程14小时51分钟 价格¥187起,Z159,2024-10-11 22:29---2024-10-11 23:53,北京---天津西,Z515,2024-10-12 01:25---2024-10-12 13:20,天津---上海
北京丰台,上海,徐州换乘 停留1小时47分钟 全程14小时21分钟 价格¥196起,Z155,2024-10-11 21:48---2024-10-12 04:27,北京丰台---徐州,Z375,2024-10-12 06:14---2024-10-12 12:09,徐州---上海
,上海,None换乘 停留3小时14分钟 全程4小时52分钟 价格¥19.5起,K1555,2024-10-12 03:34---2024-10-12 05:12,无锡---上海,,,
北京南,上海虹桥,苏州北换乘 停留23分钟 全程6小时24分钟 价格¥608起,G149,2024-10-11 15:08---2024-10-11 20:45,北京南---苏州北,G1969,2024-10-11 21:08---2024-10-11 21:32,苏州北---上海虹桥
,松江北,None换乘 停留4小时42分钟 全程6小时53分钟 价格¥28.5起,K8351,2024-10-12 02:27---2024-10-12 04:38,常州---松江北,,,
北京,上海,天津西换乘 停留12小时21分钟 全程30小时56分钟 价格¥167起,K411,2024-10-11 23:49---2024-10-12 01:25,北京---天津西,1461,2024-10-12 13:46---2024-10-13 06:45,天津西---上海
北京南,上海虹桥,苏州北换乘 停留46分钟 全程6小时47分钟 价格¥606起,G149,2024-10-11 15:08---2024-10-11 20:45,北京南---苏州北,G1203,2024-10-11 21:31---2024-10-11 21:55,苏州北---上海虹桥
北京丰台,上海,天津西换乘 停留13小时53分钟 全程31小时56分钟 价格¥165起,Z159,2024-10-11 22:49---2024-10-11 23:53,北京丰台---天津西,1461,2024-10-12 13:46---2024-10-13 06:45,天津西---上海
北京,上海,天津西换乘 停留13小时53分钟 全程32小时16分钟 价格¥167起,Z159,2024-10-11 22:29---2024-10-11 23:53,北京---天津西,1461,2024-10-12 13:46---2024-10-13 06:45,天津西---上海
北京南,上海虹桥,南京南换乘 停留25分钟 全程5小时7分钟 价格¥679起,G21,2024-10-11 17:00---2024-10-11 20:14,北京南---南京南,G377,2024-10-11 20:39---2024-10-11 22:07,南京南---上海虹桥
北京南,上海虹桥,南京南换乘 停留11分钟 全程5小时13分钟 价格¥645起,G23,2024-10-11 18:00---2024-10-11 21:33,北京南---南京南,G157,2024-10-11 21:44---2024-10-11 23:13,南京南---上海虹桥
北京南,上海虹桥,南京南换乘 停留17分钟 全程5小时10分钟 价格¥679起,G19,2024-10-11 16:00---2024-10-11 19:24,北京南---南京南,G149,2024-10-11 19:41---2024-10-11 21:10,南京南---上海虹桥
北京南,上海虹桥,南京南换乘 停留21分钟 全程5小时14分钟 价格¥668起,G19,2024-10-11 16:00---2024-10-11 19:24,北京南---南京南,G1951,2024-10-11 19:45---2024-10-11 21:14,南京南---上海虹桥
北京南,上海虹桥,南京南换乘 停留21分钟 全程5小时18分钟 价格¥645起,G23,2024-10-11 18:00---2024-10-11 21:33,北京南---南京南,G159,2024-10-11 21:54---2024-10-11 23:18,南京南---上海虹桥
北京南,上海虹桥,常州北换乘 停留16分钟 全程5小时9分钟 价格¥637起,G25,2024-10-11 18:04---2024-10-11 22:09,北京南---常州北,G157,2024-10-11 22:25---2024-10-11 23:13,常州北---上海虹桥
北京南,上海虹桥,常州北换乘 停留20分钟 全程5小时14分钟 价格¥637起,G25,2024-10-11 18:04---2024-10-11 22:09,北京南---常州北,G159,2024-10-11 22:29---2024-10-11 23:18,常州北---上海虹桥
北京南,上海虹桥,常州北换乘 停留35分钟 全程5小时28分钟 价格¥637起,G25,2024-10-11 18:04---2024-10-11 22:09,北京南---常州北,G1425,2024-10-11 22:44---2024-10-11 23:32,常州北---上海虹桥
北京南,上海虹桥,常州北换乘 停留45分钟 全程5小时33分钟 价格¥637起,G25,2024-10-11 18:04---2024-10-11 22:09,北京南---常州北,G161,2024-10-11 22:54---2024-10-11 23:37,常州北---上海虹桥
北京南,上海虹桥,徐州东换乘 停留21分钟 全程5小时39分钟 价格¥641起,G159,2024-10-11 17:19---2024-10-11 20:15,北京南---徐州东,G25,2024-10-11 20:36---2024-10-11 22:58,徐州东---上海虹桥
北京南,上海虹桥,济南西换乘 停留20分钟 全程6小时6分钟 价格¥603起,G1567,2024-10-11 16:21---2024-10-11 18:01,北京南---济南西,G153,2024-10-11 18:21---2024-10-11 22:27,济南西---上海虹桥
北京南,上海虹桥,南京南换乘 停留14分钟 全程6小时18分钟 价格¥628起,G151,2024-10-11 15:49---2024-10-11 20:25,北京南---南京南,G377,2024-10-11 20:39---2024-10-11 22:07,南京南---上海虹桥
北京南,上海虹桥,常州北换乘 停留10分钟 全程6小时16分钟 价格¥589起,G161,2024-10-11 17:33---2024-10-11 22:51,北京南---常州北,G1939,2024-10-11 23:01---2024-10-11 23:49,常州北---上海虹桥
北京南,上海虹桥,常州北换乘 停留17分钟 全程6小时13分钟 价格¥592起,G159,2024-10-11 17:19---2024-10-11 22:27,北京南---常州北,G1425,2024-10-11 22:44---2024-10-11 23:32,常州北---上海虹桥
北京南,上海虹桥,常州北换乘 停留27分钟 全程6小时18分钟 价格¥592起,G159,2024-10-11 17:19---2024-10-11 22:27,北京南---常州北,G161,2024-10-11 22:54---2024-10-11 23:37,常州北---上海虹桥
北京南,上海虹桥,杭州东换乘 停留11分钟 全程6小时55分钟 价格¥652起,G195,2024-10-11 16:17---2024-10-11 22:16,北京南---杭州东,G1472,2024-10-11 22:27---2024-10-11 23:12,杭州东---上海虹桥
北京南,上海虹桥,泰安换乘 停留12分钟 全程6小时25分钟 价格¥615起,G157,2024-10-11 16:53---2024-10-11 19:04,北京南---泰安,G159,2024-10-11 19:16---2024-10-11 23:18,泰安---上海虹桥
北京南,上海虹桥,德州东换乘 停留12分钟 全程6小时14分钟 价格¥600起,G1079,2024-10-11 17:23---2024-10-11 18:43,北京南---德州东,G161,2024-10-11 18:55---2024-10-11 23:37,德州东---上海虹桥
北京丰台,上海,衡水换乘 停留28分钟 全程13小时55分钟 价格¥183起,K1613,2024-10-11 20:07---2024-10-11 23:08,北京丰台---衡水,Z198,2024-10-11 23:36---2024-10-12 10:02,衡水---上海
北京,上海,南京换乘 停留12分钟 全程12小时9分钟 价格¥321起,D17,2024-10-11 19:16---2024-10-12 04:46,北京---南京,D7,2024-10-12 04:58---2024-10-12 07:25,南京---上海
北京丰台,上海,衡水换乘 停留1小时23分钟 全程14小时1分钟 价格¥191.5起,D137,2024-10-11 20:01---2024-10-11 22:13,北京丰台---衡水,Z198,2024-10-11 23:36---2024-10-12 10:02,衡水---上海
北京南,上海,天津南换乘 停留21分钟 全程5小时6分钟 价格¥641起,G2581,2024-10-11 17:37---2024-10-11 18:12,北京南---天津南,G23,2024-10-11 18:33---2024-10-11 22:43,天津南---上海
北京南,上海,天津南换乘 停留31分钟 全程5小时15分钟 价格¥647起,G1595,2024-10-11 17:28---2024-10-11 18:02,北京南---天津南,G23,2024-10-11 18:33---2024-10-11 22:43,天津南---上海
北京,上海,常州换乘 停留1小时28分钟 全程16小时12分钟 价格¥181起,T109,2024-10-11 20:03---2024-10-12 09:06,北京---常州,Z39,2024-10-12 10:34---2024-10-12 12:15,常州---上海
