总出发站,总目得站,总信息,班次列车号1,发车时间-到站时间1,发车站-目得站1,班次列车号2,发车时间-到站时间2,发车站-目得站2
上海,北京南,南京南换乘 停留30分钟 全程5小时7分钟 价格¥661起,G7256,2024-10-11 17:29---2024-10-11 18:38,上海---南京南,G26,2024-10-11 19:08---2024-10-11 22:36,南京南---北京南
上海虹桥,北京南,南京南换乘 停留30分钟 全程5小时9分钟 价格¥668起,G1826,2024-10-11 18:14---2024-10-11 19:36,上海虹桥---南京南,G40,2024-10-11 20:06---2024-10-11 23:23,南京南---北京南
上海虹桥,北京,南京南换乘 停留13分钟 全程5小时17分钟 价格¥637起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G26,2024-10-11 19:08---2024-10-11 22:58,南京南---北京
上海,北京南,济南西换乘 停留22分钟 全程5小时13分钟 价格¥642起,G26,2024-10-11 17:55---2024-10-11 21:08,上海---济南西,G156,2024-10-11 21:30---2024-10-11 23:08,济南西---北京南
上海虹桥,北京南,济南西换乘 停留24分钟 全程5小时29分钟 价格¥577起,G154,2024-10-11 17:11---2024-10-11 20:50,上海虹桥---济南西,G46,2024-10-11 21:14---2024-10-11 22:40,济南西---北京南
上海,北京南,南京南换乘 停留22分钟 全程5小时16分钟 价格¥666起,G266,2024-10-11 15:21---2024-10-11 16:39,上海---南京南,G22,2024-10-11 17:01---2024-10-11 20:37,南京南---北京南
上海松江,北京南,杭州东换乘 停留11分钟 全程5小时34分钟 价格¥732起,G7521,2024-10-11 16:56---2024-10-11 17:49,上海松江---杭州东,G38,2024-10-11 18:00---2024-10-11 22:30,杭州东---北京南
上海虹桥,北京南,无锡东换乘 停留17分钟 全程6小时5分钟 价格¥567起,G7196,2024-10-11 16:44---2024-10-11 17:25,上海虹桥---无锡东,G154,2024-10-11 17:42---2024-10-11 22:49,无锡东---北京南
上海虹桥,北京南,济南西换乘 停留28分钟 全程5小时54分钟 价格¥574起,G160,2024-10-11 17:41---2024-10-11 21:43,上海虹桥---济南西,G44,2024-10-11 22:11---2024-10-11 23:35,济南西---北京南
上海虹桥,北京,苏州换乘 停留44分钟 全程16小时26分钟 价格¥199.5起,D3046,2024-10-11 16:06---2024-10-11 16:41,上海虹桥---苏州,T110,2024-10-11 17:25---2024-10-12 08:32,苏州---北京
上海,北京南,蚌埠南换乘 停留16分钟 全程5小时53分钟 价格¥582起,G266,2024-10-11 15:21---2024-10-11 17:23,上海---蚌埠南,G304,2024-10-11 17:39---2024-10-11 21:14,蚌埠南---北京南
上海虹桥,北京,苏州换乘 停留1小时35分钟 全程17小时16分钟 价格¥199.5起,D3032,2024-10-11 15:16---2024-10-11 15:50,上海虹桥---苏州,T110,2024-10-11 17:25---2024-10-12 08:32,苏州---北京
上海虹桥,北京南,昆山南换乘 停留26分钟 全程6小时27分钟 价格¥536起,G2612,2024-10-11 15:53---2024-10-11 16:12,上海虹桥---昆山南,G152,2024-10-11 16:38---2024-10-11 22:20,昆山南---北京南
,北京,None换乘 停留2小时9分钟 全程3小时59分钟 价格¥21.5起,K342,2024-10-12 03:59---2024-10-12 05:49,天津---北京,,,
上海,北京丰台,南京换乘 停留12分钟 全程12小时3分钟 价格¥318起,D10,2024-10-11 21:21---2024-10-11 23:56,上海---南京,D12,2024-10-12 00:08---2024-10-12 09:24,南京---北京丰台
,北京南,None换乘 停留2小时5分钟 全程2小时35分钟 价格¥54.5起,C2302,2024-10-11 22:45---2024-10-11 23:15,天津---北京南,,,
上海虹桥,,无锡新区换乘 停留2小时36分钟 全程3小时25分钟 价格¥57起,G7144,2024-10-11 17:05---2024-10-11 17:54,上海虹桥---无锡新区,,,
上海,北京南,南京换乘 停留39分钟 全程11小时34分钟 价格¥392起,G7068,2024-10-11 21:50---2024-10-11 23:23,上海---南京,D10,2024-10-12 00:02---2024-10-12 09:24,南京---北京南
上海,北京,南京换乘 停留25分钟 全程12小时34分钟 价格¥297.5起,Z164,2024-10-11 18:33---2024-10-11 21:13,上海---南京,D18,2024-10-11 21:38---2024-10-12 07:07,南京---北京
上海,北京南,天津西换乘 停留27分钟 全程12小时44分钟 价格¥221.5起,Z172,2024-10-11 19:34---2024-10-12 07:06,上海---天津西,G8914,2024-10-12 07:33---2024-10-12 08:18,天津西---北京南
,北京南,None换乘 停留2小时5分钟 全程2小时35分钟 价格¥54.5起,C2302,2024-10-11 22:45---2024-10-11 23:15,天津---北京南,,,
上海虹桥,北京,无锡换乘 停留1小时4分钟 全程12小时53分钟 价格¥382起,G7314,2024-10-11 20:33---2024-10-11 21:22,上海虹桥---无锡,D6,2024-10-11 22:26---2024-10-12 09:26,无锡---北京
上海,北京丰台,苏州换乘 停留12小时45分钟 全程34小时48分钟 价格¥163起,K1506,2024-10-11 23:39---2024-10-12 00:40,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
,北京南,None换乘 停留3小时15分钟 全程3小时36分钟 价格¥30起,G2566,2024-10-11 22:40---2024-10-11 23:01,廊坊---北京南,,,
上海,北京丰台,苏州换乘 停留13小时0分钟 全程35小时6分钟 价格¥163起,K850,2024-10-11 23:21---2024-10-12 00:25,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,苏州换乘 停留13小时51分钟 全程35小时54分钟 价格¥163起,K8366,2024-10-11 22:33---2024-10-11 23:34,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,苏州换乘 停留14小时8分钟 全程36小时4分钟 价格¥163起,K1048,2024-10-11 22:23---2024-10-11 23:17,上海---苏州,1462,2024-10-12 13:25---2024-10-13 10:27,苏州---北京丰台
上海,北京丰台,徐州换乘 停留1小时51分钟 全程16小时39分钟 价格¥196起,Z164,2024-10-11 18:33---2024-10-12 00:18,上海---徐州,K4036,2024-10-12 02:09---2024-10-12 11:12,徐州---北京丰台
,北京南,None换乘 停留2小时30分钟 全程2小时51分钟 价格¥30起,G2566,2024-10-11 22:40---2024-10-11 23:01,廊坊---北京南,,,
上海,北京丰台,徐州换乘 停留54分钟 全程13小时58分钟 价格¥196起,T116,2024-10-11 15:38---2024-10-11 22:12,上海---徐州,Z156,2024-10-11 23:06---2024-10-12 05:36,徐州---北京丰台
上海虹桥,北京南,苏州北换乘 停留20分钟 全程6小时8分钟 价格¥569起,G24,2024-10-11 17:00---2024-10-11 17:21,上海虹桥---苏州北,G156,2024-10-11 17:41---2024-10-11 23:08,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留23分钟 全程6小时22分钟 价格¥541起,G158,2024-10-11 17:20---2024-10-11 17:43,上海虹桥---苏州北,G160,2024-10-11 18:06---2024-10-11 23:42,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留27分钟 全程6小时26分钟 价格¥536起,G156,2024-10-11 17:16---2024-10-11 17:39,上海虹桥---苏州北,G160,2024-10-11 18:06---2024-10-11 23:42,苏州北---北京南
上海虹桥,北京南,苏州北换乘 停留29分钟 全程6小时31分钟 价格¥541起,G158,2024-10-11 17:20---2024-10-11 17:43,上海虹桥---苏州北,G162,2024-10-11 18:12---2024-10-11 23:51,苏州北---北京南
上海虹桥,北京南,南京南换乘 停留14分钟 全程4小时38分钟 价格¥679起,G1728,2024-10-11 16:55---2024-10-11 17:56,上海虹桥---南京南,G24,2024-10-11 18:10---2024-10-11 21:33,南京南---北京南
上海虹桥,北京南,苏州北换乘 停留33分钟 全程6小时35分钟 价格¥536起,G156,2024-10-11 17:16---2024-10-11 17:39,上海虹桥---苏州北,G162,2024-10-11 18:12---2024-10-11 23:51,苏州北---北京南
上海虹桥,北京南,济南西换乘 停留11分钟 全程5小时0分钟 价格¥647起,G24,2024-10-11 17:00---2024-10-11 20:07,上海虹桥---济南西,G1080,2024-10-11 20:18---2024-10-11 22:00,济南西---北京南
上海虹桥,北京南,南京南换乘 停留21分钟 全程5小时10分钟 价格¥686起,G158,2024-10-11 17:20---2024-10-11 18:43,上海虹桥---南京南,G38,2024-10-11 19:04---2024-10-11 22:30,南京南---北京南
上海虹桥,北京南,济南西换乘 停留16分钟 全程5小时19分钟 价格¥623起,G154,2024-10-11 17:11---2024-10-11 20:50,上海虹桥---济南西,G38,2024-10-11 21:06---2024-10-11 22:30,济南西---北京南
上海虹桥,北京南,济南西换乘 停留20分钟 全程5小时25分钟 价格¥611起,G154,2024-10-11 17:11---2024-10-11 20:50,上海虹桥---济南西,G26,2024-10-11 21:10---2024-10-11 22:36,济南西---北京南
上海虹桥,北京南,南京南换乘 停留19分钟 全程6小时10分钟 价格¥552起,G160,2024-10-11 17:41---2024-10-11 18:55,上海虹桥---南京南,G162,2024-10-11 19:14---2024-10-11 23:51,南京南---北京南
上海虹桥,北京南,无锡东换乘 停留28分钟 全程6小时10分钟 价格¥567起,G268,2024-10-11 16:39---2024-10-11 17:14,上海虹桥---无锡东,G154,2024-10-11 17:42---2024-10-11 22:49,无锡东---北京南
上海虹桥,北京南,济南西换乘 停留42分钟 全程6小时21分钟 价格¥557起,G152,2024-10-11 16:19---2024-10-11 20:32,上海虹桥---济南西,G46,2024-10-11 21:14---2024-10-11 22:40,济南西---北京南
上海虹桥,北京南,昆山南换乘 停留12分钟 全程6小时14分钟 价格¥527起,D3046,2024-10-11 16:06---2024-10-11 16:26,上海虹桥---昆山南,G152,2024-10-11 16:38---2024-10-11 22:20,昆山南---北京南
上海虹桥,北京南,昆山南换乘 停留17分钟 全程6小时19分钟 价格¥527起,D3142,2024-10-11 16:01---2024-10-11 16:21,上海虹桥---昆山南,G152,2024-10-11 16:38---2024-10-11 22:20,昆山南---北京南
上海虹桥,北京南,徐州东换乘 停留33分钟 全程7小时21分钟 价格¥646起,G2612,2024-10-11 15:53---2024-10-11 19:48,上海虹桥---徐州东,G158,2024-10-11 20:21---2024-10-11 23:14,徐州东---北京南
上海,北京,南京换乘 停留23分钟 全程11小时55分钟 价格¥390起,G7062,2024-10-11 19:12---2024-10-11 21:15,上海---南京,D18,2024-10-11 21:38---2024-10-12 07:07,南京---北京
